week_start,operating_system,user_type,sessions,gameplay_anytime_rate,gameplay_within_15s_rate,gameplay_within_30s_rate,promo_event_rate,promo_before_gameplay_rate,deposit_window_rate,deposit_initiated_rate,deposit_success_rate,scroll_rate,search_rate
2026-02-02,Android,RETURNING_USER,1253,0.18994413407821228,0.09417398244213887,0.12928970470869913,0.0079808459696727851,0.002394253790901836,0.083000798084596969,0.0925778132482043,0.087789305666400641,0.13407821229050285,0.023942537909018353
2026-02-02,Android,NEW_USER,769,0.39141742522756823,0.18465539661898578,0.26007802340702207,0.01560468140442133,0.005201560468140444,0.22626788036410928,0.25227568270481143,0.23797139141742521,0.22756827048114434,0.0858257477243173
2026-02-02,iOS,RETURNING_USER,713,0.23422159887798039,0.16129032258064521,0.18793828892005615,0.0098176718092566617,0.0014025245441795235,0.1136044880785414,0.12482468443197756,0.12061711079943901,0.15988779803646569,0.033660589060308561
2026-02-02,iOS,NEW_USER,502,0.45617529880478092,0.3247011952191235,0.38047808764940233,0.007968127490039844,0.0,0.22908366533864544,0.25498007968127495,0.2430278884462152,0.2549800796812749,0.07370517928286853
2026-01-26,Android,RETURNING_USER,6339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,iOS,RETURNING_USER,3892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,Android,NEW_USER,3886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-26,iOS,NEW_USER,2238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-19,Android,RETURNING_USER,6384,0.36450501253132833,0.18703007518796991,0.25172305764411029,0.015507518796992479,0.0051691729323308268,0.16212406015037598,0.17763157894736845,0.17136591478696742,0.26206140350877188,0.055921052631578948
2026-01-19,iOS,RETURNING_USER,4106,0.42377009254749154,0.3019970774476376,0.34486117876278616,0.019727228446176331,0.0058451047247929863,0.19386264003896742,0.20896249391134925,0.20068192888455919,0.27739892839746716,0.063565513882123725
